W3ALCD,Doing_Business_As,Restaurant_Address,Inspection_Date,Major_Violation_Improper_Holding_Temperature,Minor_Violation_Improper_Holding_Temperature,Major_Violation_Inadequate_Cooking,Minor_Violation_Inadequate_Cooking,Major_Violation_Personal_Hygiene,Minor_Violation_Personal_Hygiene,Major_Violation_Contaminated_Equipment,Minor_Violation_Contaminated_Equipment,Major_Violation_Unsafe_Food_Source,Minor_Violation_Unsafe_Food_Source,InDbDate
FA0000030,NATION'S,"1800 UNIVERSITY AVE
BERKELEY, CA
(37.871246, -122.274991)",08/30/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001423,IMM THAI,"2068 UNIVERSITY AVE
BERKELEY, CA
(37.872013, -122.269096)",01/29/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001019,"THE LOCAL BUTCHER SHOP, LLC","1600 SHATTUCK AVE
BERKELEY, CA
(37.878113, -122.269114)",01/30/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000667,THAI DELIGHT CUISINE CO. LTD,"1700 SHATTUCK AVE
BERKELEY, CA
(37.876307, -122.268923)",08/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000586,TOP DOG #5,"2160 CENTER ST
BERKELEY, CA
(37.870541, -122.266338)",10/11/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001707,FAMOUS BAO,"2431 DURANT AVE
BERKELEY, CA
(37.86769, -122.259939)",10/09/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001813,IPPUDO,"2015 SHATTUCK AVE
BERKELEY, CA
(37.871901, -122.268389)",08/06/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000450,OCEAN VIEW MARKET,"1468 SIXTH ST
BERKELEY, CA
(37.87535, -122.300048)",12/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001970,SUPER DUPER BURGER,"2355 TELEGRAPH AVE
BERKELEY, CA
(37.86765, -122.25896)",01/17/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000422,PEET'S COFFEE & TEA/VINE,"2124 VINE ST
BERKELEY, CA
(37.880308, -122.268709)",12/14/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000012,MI RANCHITO BAYSIDE MARKET,"2032 SAN PABLO AVE
BERKELEY, CA
(37.868558, -122.292047)",10/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000420,THE CHEESE BOARD PIZZA,"1512 SHATTUCK AVE
BERKELEY, CA
(37.879871, -122.269316)",02/14/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001303,POTLIQUOR LLC,"2701 8TH ST
BERKELEY, CA
(37.856919, -122.291833)",09/06/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001801,EARTHBAR,"2600 SHATTUCK AVE
BERKELEY, CA
(37.861677, -122.26716)",11/08/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001417,PIPELINE CAFE,"2131 DURANT AVE
BERKELEY, CA
(37.866846, -122.266434)",02/08/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001393,HOI POLLOI BREWPUB,"1763 ALCATRAZ AVE
BERKELEY, CA
(37.848647, -122.272151)",10/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000528,STEVE'S KOREAN BAR-B-Q,"2521 DURANT AVE
BERKELEY, CA
(37.867947, -122.257926)",01/10/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001478,MURACCI'S III,"2428 TELEGRAPH AVE
BERKELEY, CA
(37.866398, -122.258702)",02/20/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000297,PLEARN THAI RESTAURANT,"1923 UNIVERSITY AVE
BERKELEY, CA
(37.871686, -122.272352)",07/11/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000385,COFFEE SACK,"2701 COLLEGE AVE
BERKELEY, CA
(37.86211, -122.253551)",02/04/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000757,STRADAVARIUS,"2680 BANCROFT WY
BERKELEY, CA
(37.869229, -122.255004)",07/17/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001319,IYASARE,"1830 4TH ST
BERKELEY, CA
(37.86939, -122.300453)",09/20/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002029,THISTLE HEALTH INC. #2,"1435 4TH ST
BERKELEY, CA
(37.875529, -122.30246)",01/10/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001564,DELTAN DIVERSIFIED INC.,"1300 SAN PABLO AVE
BERKELEY, CA
(37.880228, -122.295798)",09/12/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002058,"ARTIS COFFEE, LLC","1717 4TH ST
BERKELEY, CA
(37.871086, -122.301002)",,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000596,BERKELEY ESPRESSO,"1900 SHATTUCK AVE
BERKELEY, CA
(37.873687, -122.268616)",08/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000160,GEORGE CATERING SERVICES,"701 PAGE ST
BERKELEY, CA
(37.875844, -122.303332)",08/28/2018,0,0,0,0,0,0,0,1,0,0,02/25/2019 05:00:02 AM
FA0000417,SAFEWAY STORE #691,"1444 SHATTUCK PL
BERKELEY, CA
(37.881525, -122.269974)",10/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000693,K'S COFFEE HOUSE,"2002 CENTER ST
BERKELEY, CA
(37.86998, -122.270507)",09/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000482,PIMAX INC. DBA C & M MEAT CO.,"2843 SAN PABLO AVE
BERKELEY, CA
(37.854382, -122.287325)",01/29/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000464,ANCHALEE THAI CUISINE,"1094 96 DWIGHT WY
BERKELEY, CA
(37.861059, -122.289728)",10/22/2018,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002010,WESTERN PACIFIC,"2286 SHATTUCK AVE
BERKELEY, CA
(37.867697, -122.26786)",11/30/2018,0,1,0,0,0,0,0,1,0,0,02/25/2019 05:00:02 AM
FA0000014,LANESPLITTER PUB,"2033 SAN PABLO AVE
BERKELEY, CA
(37.868537, -122.291872)",09/18/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001974,CAMPUS STORE L.L.C.,"1804 EUCLID AVE
BERKELEY, CA
(37.875868, -122.2603)",10/22/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000278,MIDDLE EAST MARKET,"2054 SAN PABLO AVE
BERKELEY, CA
(37.868472, -122.29202)",12/12/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001861,BARBARIAN,"2012 SHATTUCK AVE
BERKELEY, CA
(37.87199, -122.268396)",11/20/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000432,LA BURRITA,"1832 EUCLID AVE
BERKELEY, CA
(37.875831, -122.260292)",01/28/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000047,BERKELEY TOUCHLESS CAR WASH 1099/1615,"2176 KITTREDGE ST
BERKELEY, CA
(37.868674, -122.266528)",11/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000658,JOHN'S ICE CREAM,"2204 SHATTUCK AVE
BERKELEY, CA
(37.869143, -122.26802)",08/21/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000771,MUSICAL OFFERING CAFE SHOP,"2430 BANCROFT WY
BERKELEY, CA
(37.868512, -122.260763)",01/15/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001894,COUNTRY CHEESE LLC,"2101 SAN PABLO AVE
BERKELEY, CA
(37.868021, -122.291706)",11/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000253,CAFE RIO,"2146 CENTER ST
BERKELEY, CA
(37.870498, -122.266662)",11/20/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000545,SHATTUCK CINEMA,"2230 SHATTUCK AVE
BERKELEY, CA
(37.868916, -122.267994)",04/30/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001976,CHLOE CAFE,"2080 M L KING JR WAY
BERKELEY, CA",01/31/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001943,COMAL NEXT DOOR,"2024 SHATTUCK AVE
BERKELEY, CA
(37.871499, -122.268342)",11/08/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001922,SQUARE BABY,"2428 SHATTUCK AVE
BERKELEY, CA
(37.865198, -122.267579)",08/23/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002007,YIFANG TAIWAN FRUIT TEA,"2516 BANCROFT WAY
BERKELEY, CA
(37.868781, -122.25866)",10/26/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001525,TUPPER AND REED,"2271 SHATTUCK AVE
BERKELEY, CA
(37.868135, -122.267772)",07/24/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000084,TRADER JOE'S,"1885 UNIVERSITY AVE
BERKELEY, CA
(37.871567, -122.273315)",07/10/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001063,PAPPY'S GRILL & SPORTS BAR,"2367 TELEGRAPH AVE
BERKELEY, CA
(37.867524, -122.258935)",09/12/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001979,LILLY THAI KITCHEN,"1453 DWIGHT WAY
BERKELEY, CA
(37.862076, -122.281982)",12/11/2018,0,1,0,0,0,0,0,1,0,0,02/25/2019 05:00:02 AM
FA0001293,BLUE DOOR,"2242 BANCROFT WAY
BERKELEY, CA
(37.868001, -122.264768)",02/20/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002032,TAMON TEA,"2055-A CENTER ST
BERKELEY, CA
(37.870147, -122.269253)",01/16/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001451,SANCTUARY BISTRO,"1019 CAMELIA ST
BERKELEY, CA
(37.878456, -122.296634)",06/15/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000656,SANDWICH ZONE,"2117 SHATTUCK AVE
BERKELEY, CA
(37.870918, -122.268264)",10/10/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000690,THE PHOENIX PASTIFICIO,"1250 ADDISON ST
BERKELEY, CA
(37.868792, -122.286984)",09/04/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001367,SENIORE'S PIZZA,"2518-B DURANT AVE
BERKELEY, CA
(37.867905, -122.258265)",01/29/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001258,EASY MARKET,"3045 SAN PABLO AVE
BERKELEY, CA
(37.850706, -122.286147)",01/11/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001837,GADANI,"139 BERKELEY SQ
BERKELEY, CA
(37.870827, -122.267739)",12/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001307,BEN & JERRY'S ICE CREAM,"2130 CENTER ST
BERKELEY, CA
(37.870437, -122.267124)",08/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001692,ROCKET RESTAURANT RESOURCE,"2940 7TH ST
BERKELEY, CA
(37.851701, -122.291303)",11/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001542,ZING CAFE,"3051 ADELINE ST
BERKELEY, CA
(37.853426, -122.269463)",10/25/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001888,THE ITALIAN HOMEMADE COMPANY,"2905 COLLEGE AVE
BERKELEY, CA
(37.858166, -122.25316)",02/19/2019,0,1,0,0,0,0,0,1,0,0,02/25/2019 05:00:02 AM
FA0000549,STARBUCKS COFFEE #5406,"2224 SHATTUCK AVE
BERKELEY, CA
(37.869005, -122.268004)",08/22/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000175,LA PALMITA,"1335 SAN PABLO AVE
BERKELEY, CA
(37.87951, -122.295434)",09/07/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001923,LITTLE CAESAR'S PIZZA,"1109 UNIVERSITY AVE
BERKELEY, CA
(37.869314, -122.2909)",09/06/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002040,MODA,"1401 UNIVERSITY AVE
BERKELEY, CA
(37.87021, -122.283926)",,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000263,REI,"1338 SAN PABLO AVE
BERKELEY, CA
(37.879558, -122.295579)",11/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000230,ASHBY CARE CENTER,"2270 ASHBY AVE
BERKELEY, CA
(37.855907, -122.261783)",01/02/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000505,WALGREENS #4614/ADEL,"2801 ADELINE ST
BERKELEY, CA
(37.85809, -122.267703)",01/29/2019,0,0,0,0,0,0,0,1,0,0,02/25/2019 05:00:02 AM
FA0000248,LA QUINTA,"920 UNIVERSITY AVE
BERKELEY, CA
(37.868308, -122.295794)",08/09/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002009,SAT KHALSA,"1451 5TH ST
BERKELEY, CA
(37.875485, -122.301338)",10/18/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002013,CHINA CENTER,"2142 CENTER ST
BERKELEY, CA
(37.870502, -122.266632)",11/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001315,JERRY'S JAVA JOASIS,"1701 SAN PABLO AVE
BERKELEY, CA
(37.873413, -122.293452)",12/12/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001056,ALTA BATES MEDICAL CTR FOOD SERV,"2001 DWIGHT WAY
BERKELEY, CA
(37.863652, -122.269843)",12/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000646,MO'JOE CAFE,"2517 SACRAMENTO ST
BERKELEY, CA
(37.861575, -122.280806)",01/23/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001359,GILMAN GRILL,"1300 4TH ST
BERKELEY, CA
(37.878644, -122.303432)",09/24/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001871,SOUVENIR COFFEE,"3084 CLAREMONT AVE
BERKELEY, CA
(37.854258, -122.248381)",10/24/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001563,CEDAR MARKET 1615/1099,"1601 CALIFORNIA ST
BERKELEY, CA
(37.876834, -122.280477)",11/19/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001816,POKE BAR,"2433 DURANT AVE
BERKELEY, CA
(37.867712, -122.259777)",02/19/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000188,LILLY'S RESTAURANT,"1580 HOPKINS ST
BERKELEY, CA
(37.881836, -122.28163)",01/29/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000551,EXTREME PIZZA,"2352 SHATTUCK AVE
BERKELEY, CA
(37.86639, -122.267711)",11/14/2018,0,0,0,0,0,0,0,1,0,0,02/25/2019 05:00:02 AM
FA0000054,PANINI,"2115 ALLSTON WY
BERKELEY, CA
(37.8695, -122.267215)",11/07/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001899,GONG CHA,"2431-B DURANT AVE
BERKELEY, CA
(37.86769, -122.259939)",08/29/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001621,NABOLOM BAKERY,"2708 RUSSELL ST
BERKELEY, CA
(37.85853, -122.252457)",11/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000400,PIC 'N PAC LIQUORS,"1296 SAN PABLO AVE
BERKELEY, CA
(37.880506, -122.295888)",12/18/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000685,FINFINE,"2556 TELEGRAPH AVE
BERKELEY, CA
(37.863888, -122.258655)",10/15/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001776,SAFEWAY COMMUNITY MARKETS #2451,"1850 SOLANO AVE
BERKELEY, CA
(37.891404, -122.278607)",09/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000024,M AND H MARKET,"3198 ADELINE ST
BERKELEY, CA
(37.850614, -122.27082)",12/28/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001503,KAMADO SUSHI,"1400 1A SHATTUCK AVE
BERKELEY, CA
(37.881957, -122.269551)",02/01/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000576,CAFE 64,"800 DWIGHT WY
BERKELEY, CA
(37.859888, -122.295585)",11/09/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001196,TOSS NOODLE BAR,"2272 SHATTUCK AVE
BERKELEY, CA
(37.868073, -122.267911)",01/22/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001804,CITY LEE MARKET,"2700 M L KING JR WAY
BERKELEY, CA",08/03/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000201,LA MEDITERRANEE,"2936 COLLEGE AVE
BERKELEY, CA
(37.857596, -122.253106)",01/28/2019,0,1,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000100,THE ALBATROSS,"1822 SAN PABLO AVE
BERKELEY, CA
(37.870798, -122.292771)",05/24/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001472,CATAHOULA COFFEE COMPANY,"2080 4TH ST
BERKELEY, CA
(37.866398, -122.299531)",08/15/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001083,CHA-YA RESTAURANT,"1688 SHATTUCK AVE
BERKELEY, CA
(37.876766, -122.268976)",08/14/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000182,BERKELEY NATURAL GROCERY CO.,"1336 GILMAN ST
BERKELEY, CA
(37.881077, -122.288496)",10/03/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001777,SAFEWAY COMMUNITY MARKETS #2451,"1850 SOLANO AVE
BERKELEY, CA
(37.891404, -122.278607)",09/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002044,BOOCHMAN KOMBUCHA,"2428 SHATTUCK AVE
BERKELEY, CA
(37.865198, -122.267579)",,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001998,RED DOOR EATS,"2282 FULTON ST
BERKELEY, CA
(37.868279, -122.2661)",01/30/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0002028,ATLAS EDIBLES,"885 POTTER ST
BERKELEY, CA
(37.851409, -122.291792)",,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001099,CAFE V,"2056 SAN PABLO AVE
BERKELEY, CA
(37.86845, -122.292013)",10/25/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001114,WALGREENS #15025/2190SHAT,"2190 SHATTUCK AVE
BERKELEY, CA
(37.869521, -122.268014)",11/13/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001587,TACOS SINALOA,"2384 TELEGRAPH AVE
BERKELEY, CA
(37.867181, -122.258865)",11/14/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0000957,WALGREENS #13858/1607SHA,"1607 SHATTUCK AVE
BERKELEY, CA
(37.878009, -122.268988)",02/19/2019,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001874,BAIANO PIZZERIA,"1916 M L KING JR WAY
BERKELEY, CA",09/27/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
FA0001608,SUSHINISTA,"2235 MILVIA ST
BERKELEY, CA
(37.867703, -122.270301)",11/20/2018,0,0,0,0,0,0,0,0,0,0,02/25/2019 05:00:02 AM
